location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"denver, co",accident,2006-10-11,united states,non-fatal,airplane,mcdonnell douglas,md-90-30,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"los angeles, ca",incident,2006-10-19,united states,non-fatal,airplane,boeing,737-790,2.0,turbo fan,0.0,0.0,0.0,0.0,33.948611,-118.413611,no,los angeles,ca
"newark, nj",accident,2006-10-31,united states,non-fatal,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,40.6925,-74.168611,no,newark,nj
"milwaukee, wi",accident,2006-11-07,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,42.947222,-87.896666,no,milwaukee,wi
"milwaukee, wi",accident,2006-11-07,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,42.947222,-87.896666,no,milwaukee,wi
"chicago, il",accident,2006-11-07,united states,non-fatal,airplane,airbus,a-320-200,2.0,turbo fan,0.0,0.0,0.0,0.0,41.978611,-87.904722,no,chicago,il
"memphis, tn",accident,2006-11-10,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,35.038611,-89.972778,no,memphis,tn
"colorado spring, co",incident,2006-12-15,united states,non-fatal,airplane,boeing,737-824,2.0,turbo fan,0.0,1.0,0.0,1.0,38.809167,-104.700833,no,colorado spring,co
"anchorage, ak",accident,2006-12-23,united states,non-fatal,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-3a4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,san diego,ca
"miami, fl",incident,2006-12-26,united states,non-fatal,airplane,boeing,747-436,4.0,turbo fan,0.0,0.0,0.0,0.0,25.793333,-80.290555,no,miami,fl
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,san diego,ca
"jfk, ny",incident,2007-01-07,united states,non-fatal,airplane,mcdonnell douglas,md11,3.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,jfk,ny
"miami, fl",incident,2007-02-04,united states,non-fatal,airplane,mcdonnell douglas,dc-8-71f,4.0,turbo fan,0.0,0.0,0.0,0.0,25.793055,-80.290555,no,miami,fl
"cleveland, oh",accident,2007-02-18,united states,non-fatal,airplane,embraer,erj-170,2.0,turbo fan,0.0,0.0,0.0,0.0,41.411667,-81.849722,no,cleveland,oh
"chicago, il",accident,2007-02-23,united states,non-fatal,airplane,boeing,777,2.0,turbo fan,0.0,0.0,1.0,0.0,41.978611,-87.904722,no,chicago,il
"dallas, tx",incident,2007-02-24,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,32.841389,-96.851111,no,dallas,tx
"chicago, il",accident,2007-03-15,united states,non-fatal,airplane,boeing,767-300,2.0,turbo fan,0.0,0.0,0.0,0.0,41.973889,-87.902778,no,chicago,il
"sanford, fl",accident,2007-03-29,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83 (md-83),2.0,turbo fan,0.0,1.0,0.0,1.0,28.768334,-81.2375,no,sanford,fl
"burbank, ca",accident,2007-04-24,united states,non-fatal,airplane,boeing,757-24apf,2.0,turbo fan,0.0,0.0,1.0,0.0,34.200556,-118.358611,no,burbank,ca
"la plata, md",accident,2007-04-25,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,0.0,1.0,0.0,38.454722,-77.049722,no,la plata,md
"atlanta, ga",incident,2007-05-02,united states,non-fatal,airplane,mcdonnell douglas,dc-10-30,3.0,turbo fan,0.0,0.0,0.0,0.0,33.636666,-84.428056,no,atlanta,ga
"denver, co",accident,2007-06-03,united states,non-fatal,airplane,boeing,757-251,2.0,turbo fan,0.0,0.0,1.0,0.0,39.861389,-104.673056,no,denver,co
"tehachapi, ca",accident,2007-06-25,united states,non-fatal,airplane,mcdonnell douglas,dc 10-10,3.0,turbo fan,0.0,0.0,0.0,0.0,35.004444,-118.5975,no,tehachapi,ca
"chicago, il",accident,2007-06-27,united states,non-fatal,airplane,mcdonnell douglas,md 83,2.0,turbo fan,0.0,0.0,0.0,0.0,41.968611,-87.907778,no,chicago,il
"oceanic, un",accident,2007-06-27,united states,non-fatal,airplane,boeing,747-422,4.0,turbo fan,0.0,0.0,1.0,0.0,11,-157,no,oceanic,un
"chicago, il",accident,2007-06-27,united states,non-fatal,airplane,boeing,777-222,2.0,turbo fan,0.0,0.0,0.0,0.0,41.968611,-87.907778,no,chicago,il
"los angeles, ca",incident,2007-06-29,united states,non-fatal,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,33.9425,-118.407222,no,los angeles,ca
"mcalester, ok",accident,2007-07-08,united states,non-fatal,airplane,boeing,b737-800,2.0,turbo fan,0.0,2.0,1.0,2.0,34.8375,-95.770834,no,mcalester,ok
"tunica, ms",accident,2007-07-10,united states,non-fatal,airplane,boeing,737-232,2.0,turbo fan,1.0,0.0,0.0,0.0,34.676389,-90.341666,no,tunica,ms
"atlanta, ga",accident,2007-07-12,united states,non-fatal,airplane,boeing,777-232,2.0,turbo fan,0.0,0.0,1.0,0.0,33.636666,-84.428334,no,atlanta,ga
"knox, in",accident,2007-08-07,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,1.0,0.0,41.321945,-86.649166,no,knox,in
"st. louis, mo",accident,2007-09-28,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82 (md-82),2.0,turbo fan,0.0,0.0,0.0,0.0,38.748611,-90.366945,no,st. louis,mo
"charlotte (clt), nc",incident,2007-10-28,united states,non-fatal,airplane,boeing,757-225,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,charlotte (clt),nc
"greenville, tx",incident,2007-11-17,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,0.0,0.0,0.0,33.191111,-95.978334,no,greenville,tx
"phoenix, az",incident,2007-11-25,united states,non-fatal,airplane,boeing,737-832,2.0,turbo fan,0.0,0.0,0.0,0.0,33.434444,-112.011389,no,phoenix,az
"new york, ny",accident,2007-12-14,united states,non-fatal,airplane,embraer,emb-190,2.0,turbo fan,0.0,0.0,0.0,0.0,40.658333,-73.786666,no,new york,ny
"chicago, il",accident,2007-12-14,united states,non-fatal,airplane,boeing,777-222,2.0,turbo fan,0.0,0.0,1.0,0.0,41.978611,-87.904722,no,chicago,il
"ontario, ca",accident,2007-12-25,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83,2.0,turbo fan,0.0,0.0,2.0,0.0,34.056111,-117.601111,no,ontario,ca
"lincoln, ne",incident,2008-01-08,united states,non-fatal,airplane,boeing,737-2h4,2.0,turbo fan,0.0,0.0,0.0,0.0,040515N,0964555W,no,lincoln,ne
"newark, nj",incident,2008-01-25,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,0.0,0.0,0.0,404123N,0741028W,no,newark,nj
"washington, dc",accident,2008-02-17,united states,non-fatal,airplane,embraer,erj170,2.0,turbo fan,0.0,0.0,0.0,0.0,385130N,0077230W,no,washington,dc
"austin, tx",incident,2008-02-18,united states,non-fatal,airplane,mcdonnell douglas,md-88,2.0,turbo fan,0.0,0.0,0.0,0.0,301124N,0097407W,no,austin,tx
"valdosta, ga",accident,2008-02-23,united states,non-fatal,airplane,boeing,737-700,2.0,turbo fan,0.0,1.0,0.0,1.0,295812N,0822624W,no,valdosta,ga
"las vegas, nv",incident,2008-02-24,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,0.0,6.0,0.0,036448N,0011598W,no,las vegas,nv
"dallas, tx",incident,2008-03-01,united states,non-fatal,airplane,boeing,737-3h4,2.0,turbo fan,0.0,0.0,0.0,0.0,325043N,0096519W,no,dallas,tx
"houston, tx",incident,2008-03-27,united states,non-fatal,airplane,boeing,737-524,2.0,turbo fan,0.0,0.0,0.0,0.0,030026N,0951849W,no,houston,tx
"miami, fl",accident,2008-04-07,united states,non-fatal,airplane,boeing,737-823,2.0,turbo fan,0.0,1.0,1.0,1.0,252222N,0082952W,no,miami,fl
"miami, fl",incident,2008-05-21,united states,non-fatal,airplane,boeing,md-11f,3.0,turbo fan,0.0,0.0,0.0,0.0,254649N,0801157W,no,miami,fl
"dallas, tx",accident,2008-05-27,united states,non-fatal,airplane,embraer,140,2.0,turbo fan,0.0,1.0,0.0,1.0,032450N,0097200W,no,dallas,tx
"phoenix (phx), az",incident,2008-06-27,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,033264N,0112041W,no,phoenix (phx),az
"st. louis, mo",incident,2008-07-07,united states,non-fatal,airplane,mcdonnell douglas,md-81,2.0,turbo fan,0.0,0.0,0.0,0.0,384455N,0902212W,no,st. louis,mo
"las vegas, nv",incident,2008-08-06,united states,non-fatal,airplane,boeing,757,2.0,turbo fan,0.0,0.0,0.0,0.0,036448N,0011598W,no,las vegas,nv
"st. louis, mo",accident,2008-08-14,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,384419N,0902022W,no,st. louis,mo
"san francisco, ca",accident,2008-08-16,united states,non-fatal,airplane,boeing,777-300,2.0,turbo fan,0.0,0.0,0.0,0.0,037378N,1222229W,no,san francisco,ca
"chicago, il",incident,2008-09-22,united states,non-fatal,airplane,boeing,757-223,2.0,turbo fan,0.0,0.0,0.0,0.0,415843N,0875417W,no,chicago,il
"chicago, il",incident,2008-10-01,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,415321N,0873713W,no,chicago,il
"phoenix, az",accident,2008-10-20,united states,non-fatal,airplane,airbus,320,2.0,turbo fan,0.0,0.0,0.0,0.0,033267N,0112036W,no,phoenix,az
"salt lake city, ut",incident,2008-11-07,united states,non-fatal,airplane,boeing,737-700,2.0,turbo fan,0.0,0.0,0.0,0.0,404718N,1115840W,no,salt lake city,ut
"bozeman, mt",incident,2008-11-26,united states,non-fatal,airplane,boeing,777,2.0,turbo fan,0.0,0.0,0.0,0.0,454610N,1105549W,no,bozeman,mt
"madison, wi",accident,2008-12-03,united states,non-fatal,airplane,mcdonnell douglas,dc-9-50,2.0,turbo fan,0.0,0.0,0.0,0.0,043823N,0892015W,no,madison,wi
"sitka, ak",incident,2008-12-20,united states,non-fatal,airplane,boeing,737-4q8,2.0,turbo fan,0.0,0.0,88.0,0.0,057250N,1352142W,no,sitka,ak
"rockford, il",accident,2008-12-23,united states,non-fatal,airplane,boeing,747-212b,4.0,turbo fan,0.0,0.0,0.0,0.0,421155N,0008961W,no,rockford,il
"los angeles intl airport, ca",accident,2008-12-26,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83,2.0,turbo fan,0.0,0.0,0.0,0.0,335659N,1182359W,no,los angeles intl airport,ca
"kansas city, mo",accident,2008-12-27,united states,non-fatal,airplane,embraer,erj 170-10,2.0,turbo fan,0.0,1.0,0.0,1.0,391615N,0944347W,no,kansas city,mo
"seattle, wa",accident,2008-12-28,united states,non-fatal,airplane,boeing,757-351,2.0,turbo fan,0.0,0.0,0.0,0.0,472659N,1221842W,no,seattle,wa
"new york, ny",accident,2008-12-31,united states,non-fatal,airplane,embraer,emb145,2.0,turbo fan,0.0,0.0,0.0,0.0,403823N,0734613W,no,new york,ny
"atlanta, ga",incident,2009-01-02,united states,non-fatal,airplane,boeing,777,2.0,turbo fan,0.0,0.0,0.0,0.0,033451N,0842326W,no,atlanta,ga
"weehawken, nj",accident,2009-01-15,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,5.0,0.0,5.0,404619N,0072526W,no,weehawken,nj
"new york, ny",accident,2009-04-20,united states,non-fatal,airplane,boeing,767,2.0,turbo fan,0.0,0.0,0.0,0.0,404457N,0735958W,no,new york,ny
"denver, co",accident,2009-05-04,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,0.0,4.0,0.0,039450N,1045957W,no,denver,co
"baltimore, md",accident,2009-05-06,united states,non-fatal,airplane,boeing,dc-10,3.0,turbo fan,0.0,1.0,11.0,1.0,391721N,0763711W,no,baltimore,md
"houston, tx",incident,2009-05-13,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,2.0,0.0,293826N,0951626W,no,houston,tx
"san juan, pr",accident,2009-05-20,united states,non-fatal,airplane,boeing,767 332,2.0,turbo fan,0.0,1.0,4.0,1.0,018289N,0006662W,no,san juan,pr
"cleveland, oh",incident,2009-06-03,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,412924N,0814011W,no,cleveland,oh
"fort myers, fl",accident,2009-07-10,united states,non-fatal,airplane,airbus,a320-232,2.0,turbo fan,0.0,2.0,2.0,2.0,263210N,0814519W,no,fort myers,fl
"charlotte (clt), nc",incident,2009-07-15,united states,non-fatal,airplane,boeing,737-3b7,2.0,turbo fan,0.0,0.0,0.0,0.0,351349N,0805436W,no,charlotte (clt),nc
"norfolk, va",accident,2009-07-27,united states,non-fatal,airplane,embraer,emb170,2.0,turbo fan,0.0,1.0,1.0,1.0,365340N,0076124W,no,norfolk,va
"los angeles, ca",incident,2009-09-08,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,335633N,1182426W,no,los angeles,ca
"atlanta hartsfield intl. apt. (katl), ga",incident,2009-10-19,united states,non-fatal,airplane,boeing,767,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,atlanta hartsfield intl. apt. (katl),ga
"minneapolis, mn",incident,2009-10-21,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,0.0,0.0,0.0,445250N,0931315W,no,minneapolis,mn
"pleasant grove, nc",accident,2009-10-26,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,1.0,1.0,1.0,365340N,0076124W,no,pleasant grove,nc
"kansas city, mo",incident,2009-11-15,united states,non-fatal,airplane,airbus,a319-111,2.0,turbo fan,0.0,0.0,0.0,0.0,391752N,0944250W,no,kansas city,mo
"new market, wv",accident,2009-11-19,united states,non-fatal,airplane,boeing,777-200,2.0,turbo fan,0.0,1.0,1.0,1.0,383920N,0784229W,no,new market,wv
"santa clarita, ca",accident,2010-02-13,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,1.0,1.0,1.0,342750N,1183049W,no,santa clarita,ca
"anchorage, ak",accident,2010-02-19,united states,non-fatal,airplane,boeing,747,4.0,turbo fan,0.0,1.0,25.0,1.0,611028N,1495947W,no,anchorage,ak
"chicago, il",incident,2010-03-13,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,414950N,0874337W,no,chicago,il
"san francisco, ca",incident,2010-03-27,united states,non-fatal,airplane,boeing,777-222,2.0,turbo fan,0.0,0.0,0.0,0.0,374650N,1222512W,no,san francisco,ca
"runnells, ia",accident,2010-04-03,united states,non-fatal,airplane,embraer,erj 170-100 se,2.0,turbo fan,0.0,1.0,0.0,1.0,413132N,0931848W,no,runnells,ia
"newark, nj",incident,2010-04-05,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,0.0,0.0,0.0,404422N,0074109W,no,newark,nj
"los angeles, ca",accident,2010-04-10,united states,non-fatal,airplane,boeing,737-3h4,2.0,turbo fan,0.0,0.0,0.0,0.0,335648N,0118241W,no,los angeles,ca
"chicago, il",accident,2010-04-17,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82(md-82),2.0,turbo fan,0.0,1.0,0.0,1.0,042150N,0087542W,no,chicago,il
"houston, tx",incident,2010-04-28,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,293858N,0951649W,no,houston,tx
"fort dodge, ia",accident,2010-04-30,united states,non-fatal,airplane,boeing,767,2.0,turbo fan,0.0,1.0,5.0,1.0,042303N,0941014W,no,fort dodge,ia
"chantilly, va",incident,2010-05-17,united states,non-fatal,airplane,boeing,757,2.0,turbo fan,0.0,0.0,0.0,0.0,038540N,0772658W,no,chantilly,va
"miami, fl",accident,2010-05-17,united states,non-fatal,airplane,boeing,747,4.0,turbo fan,0.0,0.0,0.0,0.0,254743N,0801724W,no,miami,fl
"new york, ny",accident,2010-06-19,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,040390N,0073470W,no,new york,ny
"pioneer, la",accident,2010-06-28,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,2.0,3.0,2.0,032231N,0944225W,no,pioneer,la
"chicago, il",incident,2010-08-04,united states,non-fatal,airplane,boeing,767-322,2.0,turbo fan,0.0,0.0,6.0,0.0,041357N,0873233W,no,chicago,il
"salt lake city, ut",accident,2010-08-10,united states,non-fatal,airplane,embraer,emb-145xr,2.0,turbo fan,0.0,0.0,0.0,0.0,404718N,1115840W,no,salt lake city,ut
"sacramento, ca",incident,2010-08-26,united states,non-fatal,airplane,airbus,a320-232,2.0,turbo fan,0.0,0.0,7.0,0.0,384144N,1213527W,no,sacramento,ca
"los angeles, ca",incident,2010-09-04,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,335810N,1181423W,no,los angeles,ca
"brenham, tx",incident,2010-09-10,united states,non-fatal,airplane,embraer,500,2.0,turbo fan,0.0,0.0,0.0,0.0,030136N,0962216W,no,brenham,tx
"miami, fl",accident,2010-10-27,united states,non-fatal,airplane,boeing,757-223,2.0,turbo fan,0.0,0.0,0.0,0.0,254646N,0801156W,no,miami,fl
"fort lauderdale, fl",accident,2010-10-29,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,026422N,0080910W,no,fort lauderdale,fl
"minneapolis, mn",accident,2010-11-15,united states,non-fatal,airplane,embraer,erj 170-200 lr,2.0,turbo fan,0.0,0.0,0.0,0.0,445539N,0931813W,no,minneapolis,mn
"madison, wi",accident,2010-11-23,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,1.0,0.0,1.0,043824N,0892015W,no,madison,wi
"milwaukee, wi",accident,2010-11-30,united states,non-fatal,airplane,embraer,emb-135lr,2.0,turbo fan,0.0,1.0,9.0,1.0,041551N,0881845W,no,milwaukee,wi
"philadelphia, pa",accident,2010-12-18,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,395220N,0751427W,no,philadelphia,pa
"san francisco, ca",incident,2010-12-25,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,374647N,0122259W,no,san francisco,ca
"jackson hole, wy",incident,2010-12-29,united states,non-fatal,airplane,boeing,757-223,2.0,turbo fan,0.0,0.0,0.0,0.0,432812N,1104536W,no,jackson hole,wy
"los angeles, ca",accident,2011-01-03,united states,non-fatal,airplane,boeing,737-823,2.0,turbo fan,0.0,0.0,0.0,0.0,335633N,1182429W,no,los angeles,ca
"dayton, oh",incident,2011-02-01,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,394536N,0841239W,no,dayton,oh
"minneapolis, mn",incident,2011-02-09,united states,non-fatal,airplane,boeing,757-2q8,2.0,turbo fan,0.0,0.0,0.0,0.0,443112N,0093712W,no,minneapolis,mn
"north fayston, vt",accident,2011-02-19,united states,non-fatal,airplane,airbus,a320-232,2.0,turbo fan,0.0,1.0,1.0,1.0,044242N,0724238W,no,north fayston,vt
"southlake, tx",incident,2011-02-21,united states,non-fatal,airplane,boeing,737-823,2.0,turbo fan,0.0,0.0,0.0,0.0,325349N,0097217W,no,southlake,tx
"new york, ny",accident,2011-02-25,united states,non-fatal,airplane,embraer,erj 190-100 igw,2.0,turbo fan,0.0,1.0,0.0,1.0,404638N,0735221W,no,new york,ny
"naches, wa",accident,2011-02-28,united states,non-fatal,airplane,boeing,757-232,2.0,turbo fan,0.0,1.0,1.0,1.0,464841N,0120577W,no,naches,wa
"atlanta, ga",incident,2011-03-11,united states,non-fatal,airplane,boeing,757-232,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,atlanta,ga
"akron, oh",incident,2011-03-18,united states,non-fatal,airplane,embraer,emb-145xr,2.0,turbo fan,0.0,0.0,0.0,0.0,405454N,0812637W,no,akron,oh
"albuquerque, nm",accident,2011-03-23,united states,non-fatal,airplane,airbus,f4-622r,2.0,turbo fan,0.0,0.0,0.0,0.0,003520N,0106360W,no,albuquerque,nm
"kansas city, mo",accident,2011-03-26,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,1.0,0.0,1.0,375445N,0933525W,no,kansas city,mo
"orlando, fl",incident,2011-03-27,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,282511N,0081181W,no,orlando,fl
"yuma, az",accident,2011-04-01,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,2.0,0.0,323924N,1143621W,no,yuma,az
"new orleans, la",incident,2011-04-04,united states,non-fatal,airplane,airbus,a320,2.0,turbo fan,0.0,0.0,0.0,0.0,295923N,0901458W,no,new orleans,la
"pacific ocean,",accident,2011-04-11,united states,non-fatal,airplane,boeing,777-223,2.0,turbo fan,0.0,2.0,2.0,2.0,355336N,1435218E,no,"pacific ocean,",unknown
"jamaica, ny",accident,2011-04-12,united states,non-fatal,airplane,airbus,a380,4.0,turbo fan,0.0,0.0,0.0,0.0,403821N,0734722W,no,jamaica,ny
"cheltenham, md",accident,2011-04-17,united states,non-fatal,airplane,boeing,757-2b7,2.0,turbo fan,0.0,1.0,0.0,1.0,384220N,0764440W,no,cheltenham,md
"new york, ny",accident,2011-04-25,united states,non-fatal,airplane,airbus,a330-323,2.0,turbo fan,0.0,1.0,0.0,1.0,403823N,0734644W,no,new york,ny
"chicago, il",incident,2011-04-26,united states,non-fatal,airplane,boeing,737-7q8,2.0,turbo fan,0.0,0.0,0.0,0.0,415326N,0873712W,no,chicago,il
"chillicothe, mo",accident,2011-05-09,united states,non-fatal,airplane,airbus,a319,2.0,turbo fan,0.0,1.0,0.0,1.0,395236N,0933826W,no,chillicothe,mo
"atlanta, ga",accident,2011-05-12,united states,non-fatal,airplane,boeing,737-732,2.0,turbo fan,0.0,0.0,0.0,0.0,333812N,0842541W,no,atlanta,ga
"point mugu, ca",accident,2011-05-19,united states,non-fatal,airplane,boeing,707-321b,4.0,turbo fan,0.0,0.0,3.0,0.0,034622N,0119751W,no,point mugu,ca
"boone, nc",accident,2011-05-23,united states,non-fatal,airplane,boeing,757,2.0,turbo fan,0.0,1.0,1.0,1.0,362153N,0813447W,no,boone,nc
"los angeles, ca",accident,2011-05-31,united states,non-fatal,airplane,boeing,757-222,2.0,turbo fan,0.0,0.0,0.0,0.0,335620N,1182417W,no,los angeles,ca
"atlanta, ga",incident,2011-06-21,united states,non-fatal,airplane,boeing,757-232,2.0,turbo fan,0.0,0.0,3.0,0.0,333821N,0842541W,no,atlanta,ga
"miami, fl",accident,2011-06-22,united states,non-fatal,airplane,mcdonnell douglas,md88,2.0,turbo fan,0.0,1.0,0.0,1.0,254743N,0801714W,no,miami,fl
"apache junction, az",incident,2011-06-27,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83(md-83),2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,apache junction,az
"moline, il",incident,2011-08-29,united states,non-fatal,airplane,embraer,emb145,2.0,turbo fan,0.0,0.0,0.0,0.0,412655N,0903027W,no,moline,il
"cape coral, fl",accident,2011-09-06,united states,non-fatal,airplane,boeing,737 7h4,2.0,turbo fan,0.0,1.0,0.0,1.0,262624N,0008230W,no,cape coral,fl
"denver, co",incident,2011-09-26,united states,non-fatal,airplane,boeing,757-222,2.0,turbo fan,0.0,0.0,0.0,0.0,394459N,0010500W,no,denver,co
"miami, fl",accident,2011-09-29,united states,non-fatal,airplane,boeing,737-823,2.0,turbo fan,0.0,1.0,0.0,1.0,025460N,0801730W,no,miami,fl
"chicago, il",incident,2011-12-01,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,414645N,0874614W,no,chicago,il
"oakland, ca",accident,2011-12-02,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,1.0,2.0,1.0,374345N,1221427W,no,oakland,ca
"atlanta, ga",accident,2011-12-09,united states,non-fatal,airplane,boeing,737-732,2.0,turbo fan,0.0,0.0,0.0,0.0,333755N,0842559W,no,atlanta,ga
"denver, co",incident,2011-12-22,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,039451N,1045959W,no,denver,co
"farmersville, tx",incident,2012-01-25,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,033934N,0096212W,no,farmersville,tx
"jamaica, ny",incident,2012-02-08,united states,non-fatal,airplane,boeing,767,2.0,turbo fan,0.0,0.0,0.0,0.0,404233N,0734947W,no,jamaica,ny
"portland, or",incident,2012-02-13,united states,non-fatal,airplane,mcdonnell douglas,md-10-30f,3.0,turbo fan,0.0,0.0,0.0,0.0,453521N,1223620W,no,portland,or
"detroit, mi",accident,2012-02-19,united states,non-fatal,airplane,boeing,737-832,2.0,turbo fan,0.0,1.0,3.0,1.0,042213N,0083335W,no,detroit,mi
"pawnee, ne",accident,2012-02-23,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,1.0,1.0,1.0,040108N,0009697W,no,pawnee,ne
"millville, nj",accident,2012-02-24,united states,non-fatal,airplane,airbus,a321,2.0,turbo fan,0.0,1.0,0.0,1.0,039180N,0075318W,no,millville,nj
"laverne, ok",accident,2012-03-20,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,1.0,0.0,1.0,036422N,0995321W,no,laverne,ok
"fort lauderdale, fl",accident,2012-05-10,united states,non-fatal,airplane,airbus,a319-112,2.0,turbo fan,0.0,1.0,0.0,1.0,042482N,0735510W,no,fort lauderdale,fl
